WKT,group,支社略通称線,支社コード,支社,支社略,通称線コード,通称線,begin,end,length,cnt_toboku,cnt_bassai2022,cnt_bassai2023,cnt_bassai2024,cnt_bassai2022-2024,
"LINESTRING (139.7674046 35.68095303,139.7728126 35.69559743,139.7751192 35.70806837,139.7807515 35.71874433,139.7804587 35.72135311,139.7733239 35.72527946,139.7606929 35.73882862,139.7378958 35.75296217,139.7269107 35.76412452,139.7213397 35.77666425,139.7168356 35.78287975,139.7005118 35.78988606,139.6897198 35.79163724,139.6868986 35.79435067,139.684414995815 35.8018140760738)",首都圏本部_東北新幹線,東京東北新幹線,416,首都圏本部,東京,104,東北新幹線,0,676100,17839.7569,0,0,0,0,0,0
"LINESTRING (139.767134 35.68099975,139.7584541 35.66877547,139.7585978 35.66067628,139.7558728 35.65105477,139.743573 35.64255075,139.7361779 35.61483619,139.7337903 35.59784448,139.7252274 35.58423403,139.7066603 35.54085873)",首都圏本部_東海道本線,東京東海道本線,416,首都圏本部,東京,111,東海道本線,0,17000,16967.5997,0,2,4,10,16,0.942973684
"LINESTRING (139.7665724 35.68117461,139.7650523 35.67682437,139.7582662 35.66875377,139.7584675 35.66068577,139.7557496 35.65109439,139.7438985 35.64335776,139.7384874 35.62879157)",首都圏本部_東海道山手,東京東海道山手,416,首都圏本部,東京,116,東海道山手,0,6700,6697.527608,0,0,0,0,0,0
"LINESTRING (139.7667333 35.68113572,139.7650839 35.67680326,139.7583017 35.66874167,139.7585062 35.66068263,139.755794 35.6510894,139.7434253 35.64254078,139.7387567 35.63050825,139.7337055 35.59786145,139.725139 35.58425247,139.7064192 35.54092368)",首都圏本部_東海道電車,東京東海道電車,416,首都圏本部,東京,117,東海道電車,0,17000,16962.06362,0,0,0,0,0,0
"LINESTRING (139.7260242 35.60936907,139.7306549 35.61146968,139.732035 35.61384276,139.7283332 35.61899828)",首都圏本部_蛇窪支線,東京蛇窪支線,416,首都圏本部,東京,130,蛇窪支線,500,2000,1460.896785,0,0,0,0,0,0
"LINESTRING (139.745938 35.64440276,139.7439542 35.64233124,139.7437825 35.63876874,139.7544509 35.62879121,139.7540369 35.61536701,139.7606434 35.60296028,139.7620623 35.59314007,139.7620625 35.58324874,139.7510442 35.5712475,139.7549815 35.56109363,139.7538508 35.54945692,139.7508749 35.54463296)",首都圏本部_東海道貨支,東京東海道貨支,416,首都圏本部,東京,153,東海道貨支,2900,15100,12221.31175,0,0,0,0,0,0
"LINESTRING (139.7534212 35.64823449,139.7468813 35.64487508)",首都圏本部_東貨支品川,東京東貨支品川,416,首都圏本部,東京,154,東貨支品川,2100,2800,699.8665823,0,0,0,0,0,0
"LINESTRING (139.7397159 35.62834391,139.7374291 35.61940829,139.7296517 35.61522984,139.7174293 35.59524506,139.6689679 35.580397)",首都圏本部_東海道須賀,東京東海道須賀,416,首都圏本部,東京,155,東海道須賀,0,9100,9095.915974,0,0,8,6,14,1.539152301
"LINESTRING (139.7654494 35.68137172,139.7586964 35.66828139,139.7592353 35.65806002,139.7572924 35.65197127,139.7531789 35.64563462,139.7436907 35.64054477,139.7397432 35.62911529)",首都圏本部_東海道地下,東京東海道地下,416,首都圏本部,東京,170,東海道地下,0,6700,6595.005218,0,0,0,0,0,0
"LINESTRING (139.8886633 35.84473247,139.9001288 35.84198103,139.9104184 35.83135913,139.926801 35.82220501,139.9298288 35.81645026)",首都圏本部_武蔵野線,東京武蔵野線,416,首都圏本部,東京,201,武蔵野線,78600,83700,5106.676856,0,0,0,0,0,0
"LINESTRING (139.9094476 35.83229299,139.9215084 35.82919109,139.9320448 35.8340028)",首都圏本部_北小金支線,東京北小金支線,416,首都圏本部,東京,205,北小金支線,0,2300,2272.35974,0,0,0,0,0,0
"LINESTRING (139.9134801 35.83036177,139.9173023 35.82915602,139.9187889 35.8268183,139.9192986 35.81963482,139.9166495 35.80983651)",首都圏本部_馬橋支線,東京馬橋支線,416,首都圏本部,東京,206,馬橋支線,0,2600,2583.636886,0,0,0,0,0,0
"LINESTRING (139.7661969 35.68125342,139.7714293 35.69576359,139.7605525 35.701393,139.7452594 35.70196869,139.7378993 35.69296558,139.7318136 35.68909865,139.7293889 35.68301078,139.7217061 35.67982711,139.7032513 35.68212142,139.697085 35.7010531,139.6935283 35.70437599,139.6883852 35.70606417,139.5944931 35.70363165)",首都圏本部_中央本線,東京中央本線,416,首都圏本部,東京,261,中央本線,0,21100,21221.78674,0,35,14,18,67,3.157132848
"LINESTRING (139.7643373 35.69963622,139.7605523 35.70135719,139.745307 35.70188035,139.7379284 35.69287708,139.7319386 35.68898452,139.7297165 35.68409357,139.7216246 35.6799588,139.7033174 35.68217537,139.6982383 35.6995286,139.6944701 35.70390035,139.6894721 35.70594282,139.5944825 35.70370587)",首都圏本部_中央急行線,東京中央急行線,416,首都圏本部,東京,262,中央急行線,2500,21100,18600.3785,0,0,0,0,0,0
"LINESTRING (139.7667679 35.68109221,139.7727106 35.6956715,139.7748156 35.71085612,139.7797914 35.71950345,139.7677829 35.73114528,139.7621963 35.74185377,139.7552287 35.74623828,139.7417678 35.74980783,139.7397145 35.75095128,139.7388973 35.75155948,139.7407923 35.75022842,139.7399323 35.75079519,139.738147 35.75222226,139.7374807 35.75294065,139.7333355 35.75834046,139.7270572 35.76330009,139.7171074 35.78512031,139.7177152 35.79413229)",首都圏本部_東北本線,東京東北本線,416,首都圏本部,東京,461,東北本線,0,15000,15705.25619,0,3,4,6,13,0.827748356
"LINESTRING (139.7665316 35.68118953,139.7725693 35.69568315,139.7748695 35.71172606,139.7797098 35.71871925,139.761635 35.73740631)",首都圏本部_東北山手,東京東北山手,416,首都圏本部,東京,462,東北山手,0,7100,7081.396399,0,0,0,0,0,0
"LINESTRING (139.7663557 35.68122891,139.7725252 35.69568099,139.7747982 35.71172529,139.7795314 35.71960592,139.7599593 35.73868584,139.7420413 35.74910125,139.727095 35.76339264,139.7172296 35.78518982,139.717925 35.79411633)",首都圏本部_東北電車,東京東北電車,416,首都圏本部,東京,463,東北電車,0,15000,15022.65669,0,0,0,19,19,1.264756321
"LINESTRING (139.7614849 35.73851566,139.756776 35.74261894,139.7395635 35.75088774,139.726979 35.76326062,139.7226315 35.77064534,139.7218091 35.77595578,139.7193209 35.77999551,139.7180691 35.78248868,139.7176762 35.78335104,139.7173125 35.7842332,139.7169754 35.78509802,139.7174971 35.79414608)",首都圏本部_東北貨物,東京東北貨物,416,首都圏本部,東京,465,東北貨物,7200,15000,7960.717046,0,0,0,5,5,0.628084125
"LINESTRING (139.7763872 35.71307925,139.7800388 35.71956463,139.7706105 35.7284098)",首都圏本部_東北常磐,東京東北常磐,416,首都圏本部,東京,467,東北常磐,3700,5800,2120.30514,0,0,0,0,0,0
"LINESTRING (139.7201047 35.77838004,139.7151617 35.78407394,139.7068072 35.7863216,139.7005234 35.7899811,139.6888527 35.79226156,139.6847944 35.80138637)",首都圏本部_埼京線,東京埼京線,416,首都圏本部,東京,468,埼京線,13200,17700,4488.426877,0,0,0,0,0,0
"LINESTRING (139.7655649 35.73615,139.7621219 35.74176276,139.7545084 35.74526785)",首都圏本部_東北回送,東京東北回送,416,首都圏本部,東京,470,東北回送,6800,8300,1514.665459,0,0,0,0,0,0
"LINESTRING (139.777283 35.71371913,139.7797572 35.71772323,139.7793987 35.72042042,139.7684234 35.7304192,139.7642044 35.73969384,139.7597983 35.7434696)",首都圏本部_東北地平,東京東北地平,416,首都圏本部,東京,474,東北地平,3800,7800,4009.948312,0,0,0,0,0,0
"LINESTRING (139.7385222 35.62827226,139.7367394 35.61859306,139.7330887 35.61683874,139.7301012 35.61778521,139.7276333 35.6207668,139.7247939 35.6246078,139.7236312 35.62614055,139.7230085 35.62688498,139.7168931 35.63062421,139.7145314 35.63847297,139.7082614 35.64997252,139.7014925 35.65818931,139.7039637 35.67608332,139.6993118 35.69553991,139.7004876 35.70351685,139.7063049 35.72090872,139.7137198 35.73395233,139.7179831 35.73448399,139.7327981 35.73095582,139.7552925 35.7404092,139.7608966 35.73809425)",首都圏本部_山手電車,東京山手電車,416,首都圏本部,東京,475,山手電車,0,20500,20577.9313,0,3,16,2,21,1.020510745
"LINESTRING (139.7115776 35.73091722,139.7220737 35.75070579,139.721908 35.77502059,139.7201589 35.77830162)",首都圏本部_赤羽線,東京赤羽線,416,首都圏本部,東京,476,赤羽線,0,5500,5498.27166,0,0,0,2,2,0.36375067
"LINESTRING (139.7343808 35.61694233,139.7302265 35.61747606,139.7229393 35.62683029,139.7168045 35.6305861,139.7123889 35.64261006,139.7017035 35.65825121,139.7040581 35.67606804,139.6998494 35.69632159,139.7008025 35.70438028,139.7064505 35.72087767,139.7132155 35.73324856,139.7168748 35.7345322,139.7328042 35.73087637,139.7543932 35.7399417,139.7538494 35.74313007,139.7430838 35.74870431)",首都圏本部_山手貨物,東京山手貨物,416,首都圏本部,東京,479,山手貨物,1400,21300,20050.53223,0,0,0,10,10,0.498739878
"LINESTRING (139.8281806 35.76260759,139.8413322 35.76391171,139.8502493 35.76739065,139.8722946 35.76977463,139.884235 35.76885167,139.8937348 35.77109759,139.8971048 35.7747123,139.9039636 35.79176524,139.9155851 35.80607253,139.9231153 35.82859401,139.9581887 35.84721433,139.9790318 35.87161448,139.9872789 35.87573753,140.0033328 35.87230193,140.0463031 35.87284372,140.0496445 35.87513875,140.0626903 35.89498818)",首都圏本部_常磐緩行,東京常磐緩行,416,首都圏本部,東京,480,常磐緩行,8000,37400,29412.49155,0,0,0,0,0,0
